"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"6/9/2021","Order Payment","114-3119338-1101800","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/8/2021","Order Payment","111-1087236-7577037","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-14.52","7.15","18.61"
"6/8/2021","Order Payment","112-1266327-7177032","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/8/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-1","0","-1"
"6/7/2021","Order Payment","113-2074611-5604249","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/7/2021","Order Payment","113-6458674-1960219","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/6/2021","Order Payment","111-3086826-6737008","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-0.26","-7.37","0.26","18.61"
"6/4/2021","Order Payment","114-9280536-3721006","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/3/2021","Order Payment","114-9990896-5419455","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/3/2021","Order Payment","111-3875172-6485846","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"6/2/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","234.23","234.23"
"6/2/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-234.23","-234.23"
"6/2/2021","Service Fees","---","Cost of Advertising","0","0","-65.16","0","-65.16"
"6/1/2021","Order Payment","112-5349662-6981830","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.37","0","18.61"
"5/31/2021","Order Payment","112-0014188-5094616","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-3.91","-7.21","3.91","18.77"
"5/30/2021","Order Payment","111-0801868-9800231","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"5/29/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"5/29/2021","Order Payment","113-8268150-0697864","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-8.2","0","17.78"
"5/29/2021","Order Payment","111-8455664-2964261","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-8.2","0","17.78"
"5/27/2021","Order Payment","111-8856548-5612234","Vorelec MX-21 Two-Channel Headphone Mixe...","649.5","0","-180.25","0","469.25"
"5/27/2021","Service Fees","---","Cost of Advertising","0","0","-202.66","0","-202.66"
"5/27/2021","Order Payment","112-3832079-5721816","Vorelec MX-21 Two-Channel Headphone Mixe...","103.92","0","-50.23","21.39","75.08"
"5/26/2021","Order Payment","112-9014914-0885023","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"5/26/2021","Order Payment","114-4494867-7780248","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"5/24/2021","Order Payment","113-2766461-2450647","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"5/22/2021","Service Fees","---","Cost of Advertising","0","0","-150.31","0","-150.31"
"5/20/2021","Paid to Amazon | Seller repayment","---","---","0","0","0","22.65","22.65"
"5/18/2021","Order Payment","113-9299335-0618654","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"5/14/2021","Service Fees","---","Cost of Advertising","0","0","-51.17","0","-51.17"
"5/14/2021","Order Payment","112-3439545-2020222","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-13.54","6.33","18.77"
"5/14/2021","Service Fees","---","Cost of Advertising","0","0","-1.14","0","-1.14"
"5/12/2021","Service Fees","---","Inbound Transportation Charge","0","0","-7.56","0","-7.56"
"5/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.32","0","-0.32"
"5/6/2021","Paid to Amazon | Seller repayment","---","---","0","0","0","33.4","33.4"
"5/5/2021","Service Fees","---","Inbound Transportation Charge","0","0","-12.18","0","-12.18"
"4/29/2021","Order Payment","114-4291109-6209805","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"4/28/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"4/8/2021","Order Payment","114-5256297-3887437","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"4/8/2021","Paid to Amazon | Seller repayment","---","---","0","0","0","40.41","40.41"
"4/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.42","0","-0.42"
"3/28/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"3/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-0.38","0","-0.38"
"2/27/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
"2/24/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","87.37","87.37"
"2/24/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-87.37","-87.37"
"2/24/2021","Order Payment","112-3103219-3677033","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-0.36","-7.21","0.36","18.77"
"2/21/2021","Order Payment","113-9549446-1933036","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-7.15","-7.21","7.15","18.77"
"2/21/2021","Order Payment","111-3290811-5584222","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"2/19/2021","Order Payment","114-8773736-3498620","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","0","-7.21","0","18.77"
"2/18/2021","Order Payment","112-8529064-5535417","Vorelec MX-21 Two-Channel Headphone Mixe...","25.98","-7.16","-7.21","7.16","18.77"
"2/2/2021","Service Fees","---","Inbound Transportation Charge","0","0","-6.48","0","-6.48"
"1/28/2021","Paid to Amazon | Seller repayment","---","---","0","0","0","39.99","39.99"
"1/28/2021","Service Fees","---","Subscription Fee:","0","0","-39.99","0","-39.99"
