"Date","Transaction type","Order ID","Product Details","Total product charges","Total promotional rebates","Amazon fees","Other","Total (USD)"
"12/1/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","287.52","287.52"
"12/1/2021","Order Payment","112-3128820-7681862","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"12/1/2021","Order Payment","111-6227859-9240207","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/29/2021","Order Payment","112-2779695-3658648","MX-21 Two-Channel Headphone Mixer (Black...","23.98","0","-7.07","0","16.91"
"11/29/2021","Order Payment","112-0792014-6239445","MX-21 Two-Channel Headphone Mixer (Black...","23.98","0","-7.07","0","16.91"
"11/28/2021","Order Payment","114-2863406-5451468","MX-21 Two-Channel Headphone Mixer (Black...","23.98","0","-7.07","0","16.91"
"11/27/2021","Service Fees","---","Inbound Transportation Charge","0","0","-8.24","0","-8.24"
"11/27/2021","Order Payment","113-2231250-7472200","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/26/2021","Order Payment","114-7439509-1729822","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/26/2021","Order Payment","114-0388523-3149830","MX-21 Two-Channel Headphone Mixer (Black...","23.98","0","-7.07","0","16.91"
"11/26/2021","Order Payment","114-9737963-3810649","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-17.83","9.88","21.94"
"11/26/2021","Order Payment","114-0077984-6850645","MX-21 Two-Channel Headphone Mixer (Black...","23.98","0","-7.07","0","16.91"
"11/26/2021","Order Payment","113-9406089-2777032","MX-21 Two-Channel Headphone Mixer (Black...","23.98","0","-7.07","0","16.91"
"11/23/2021","Order Payment","111-4077848-0148265","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/23/2021","Service Fees","---","Inbound Transportation Charge","0","0","-6.65","0","-6.65"
"11/23/2021","Order Payment","112-8681118-3060231","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/23/2021","Order Payment","113-6035463-6428213","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/21/2021","Order Payment","113-5419712-8669867","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/20/2021","Order Payment","113-9516179-0313853","MX-21 Two-Channel Headphone Mixer (Black...","29.89","-5.33","-7.95","5.33","21.94"
"11/17/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","143.68","143.68"
"11/17/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-143.68","-143.68"
"11/17/2021","Order Payment","114-1019595-2129811","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/16/2021","Service Fees","21090810YZ","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"11/16/2021","Service Fees","21090810YZ","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"11/16/2021","Service Fees","21090810YZ","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"11/16/2021","Service Fees","21090810YZ","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"11/16/2021","Service Fees","21090810YZ","FBA Removal Order: Return Fee","0","0","-0.32","0","-0.32"
"11/16/2021","Order Payment","112-3445213-1180215","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/13/2021","Order Payment","112-9572726-5226600","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/12/2021","Order Payment","111-8694059-4253012","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/11/2021","Order Payment","114-4069192-6882619","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/11/2021","Order Payment","111-2513464-1160261","MX-21 Two-Channel Headphone Mixer (Black...","29.89","0","-7.95","0","21.94"
"11/7/2021","Service Fees","---","FBA Inventory Storage Fee","0","0","-3.3","0","-3.3"
"11/5/2021","Order Payment","114-7288002-2847417","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"11/3/2021","Order Payment","114-2025429-0815447","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"11/3/2021","Order Payment","113-9460921-6260236","Vorelec MX-21 Two-Channel Headphone Mixe...","29.98","0","-7.97","0","22.01"
"11/3/2021","Previous statement's unavailable balance","---","Previous Reserve Amount Balance ","0","0","0","147.34","147.34"
"11/3/2021","Unavailable balance","---","Current Reserve Amount ","0","0","0","-147.34","-147.34"
