Date,Ordered Product Sales,Units Ordered,Total Order Items,Average Sales per Order Item,Average Units per Order Item,Average Selling Price,Sessions,Order Item Session Percentage,Average Offer Count
4/29/21,$25.98,1,1,$25.98,1,$25.98,1,100.00%,1
4/30/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/1/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/2/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
5/3/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/4/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/5/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
5/6/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
5/7/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/8/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/9/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
5/10/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/11/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
5/12/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
5/13/21,$25.98,1,1,$25.98,1,$25.98,11,9.09%,1
5/14/21,$0.00,0,0,$0.00,0,$0.00,13,0.00%,1
5/15/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
5/16/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
5/17/21,$25.98,1,1,$25.98,1,$25.98,5,20.00%,1
5/18/21,$0.00,0,0,$0.00,0,$0.00,108,0.00%,1
5/19/21,$0.00,0,0,$0.00,0,$0.00,115,0.00%,1
5/20/21,$0.00,0,0,$0.00,0,$0.00,126,0.00%,1
5/21/21,$0.00,0,0,$0.00,0,$0.00,105,0.00%,1
5/22/21,$25.98,1,1,$25.98,1,$25.98,89,1.12%,1
5/23/21,$0.00,0,0,$0.00,0,$0.00,10,0.00%,1
5/24/21,$0.00,0,0,$0.00,0,$0.00,17,0.00%,1
5/25/21,$25.98,1,1,$25.98,1,$25.98,7,14.29%,1
5/26/21,$51.96,2,2,$25.98,1,$25.98,25,8.00%,1
5/27/21,$753.42,29,2,$376.71,14.5,$25.98,30,6.67%,1
5/28/21,$51.96,2,2,$25.98,1,$25.98,33,6.06%,1
5/29/21,$25.98,1,1,$25.98,1,$25.98,21,4.76%,1
5/30/21,$0.00,0,0,$0.00,0,$0.00,26,0.00%,1
5/31/21,$25.98,1,1,$25.98,1,$25.98,32,3.13%,1
6/1/21,$0.00,0,0,$0.00,0,$0.00,9,0.00%,1
6/2/21,$25.98,1,1,$25.98,1,$25.98,15,6.67%,1
6/3/21,$77.94,3,3,$25.98,1,$25.98,13,23.08%,1
6/4/21,$0.00,0,0,$0.00,0,$0.00,11,0.00%,1
6/5/21,$0.00,0,0,$0.00,0,$0.00,8,0.00%,1
6/6/21,$77.94,3,3,$25.98,1,$25.98,14,21.43%,1
6/7/21,$0.00,0,0,$0.00,0,$0.00,11,0.00%,1
6/8/21,$51.96,2,2,$25.98,1,$25.98,11,18.18%,1
6/9/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,1
6/10/21,$25.98,1,1,$25.98,1,$25.98,3,33.33%,1
6/11/21,$25.98,1,1,$25.98,1,$25.98,7,14.29%,1
6/12/21,$0.00,0,0,$0.00,0,$0.00,10,0.00%,1
6/13/21,$25.98,1,1,$25.98,1,$25.98,7,14.29%,1
6/14/21,$25.98,1,1,$25.98,1,$25.98,15,6.67%,1
6/15/21,$25.98,1,1,$25.98,1,$25.98,16,6.25%,1
6/16/21,$51.96,2,2,$25.98,1,$25.98,7,28.57%,1
6/17/21,$51.96,2,2,$25.98,1,$25.98,17,11.76%,1
6/18/21,$25.98,1,1,$25.98,1,$25.98,12,8.33%,1
6/19/21,$51.96,2,2,$25.98,1,$25.98,5,40.00%,1
6/20/21,$51.96,2,2,$25.98,1,$25.98,8,25.00%,1
6/21/21,$25.98,1,1,$25.98,1,$25.98,6,16.67%,1
6/22/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
6/23/21,$25.98,1,1,$25.98,1,$25.98,6,16.67%,1
6/24/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
6/25/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
6/26/21,$25.98,1,1,$25.98,1,$25.98,3,33.33%,1
6/27/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
6/28/21,$25.98,1,1,$25.98,1,$25.98,21,4.76%,1
6/29/21,$25.98,2,2,$12.99,1,$12.99,38,5.26%,1
6/30/21,$0.00,0,0,$0.00,0,$0.00,46,0.00%,1
7/1/21,$0.00,0,0,$0.00,0,$0.00,52,0.00%,1
7/2/21,$0.00,0,0,$0.00,0,$0.00,44,0.00%,1
7/3/21,$0.00,0,0,$0.00,0,$0.00,33,0.00%,1
7/4/21,$25.98,1,1,$25.98,1,$25.98,48,2.08%,1
7/5/21,$0.00,0,0,$0.00,0,$0.00,11,0.00%,1
7/6/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
7/7/21,$25.98,1,1,$25.98,1,$25.98,5,20.00%,1
7/8/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
7/9/21,$77.94,3,3,$25.98,1,$25.98,5,60.00%,1
7/10/21,$0.00,1,1,$0.00,1,$0.00,19,5.26%,1
7/11/21,$25.98,1,1,$25.98,1,$25.98,14,7.14%,1
7/12/21,$77.94,3,3,$25.98,1,$25.98,15,20.00%,1
7/13/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
7/14/21,$25.98,1,1,$25.98,1,$25.98,4,25.00%,1
7/15/21,$25.98,1,1,$25.98,1,$25.98,8,12.50%,1
7/16/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
7/17/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
7/18/21,$0.00,0,0,$0.00,0,$0.00,12,0.00%,1
7/19/21,$0.00,0,0,$0.00,0,$0.00,12,0.00%,1
7/20/21,$0.00,0,0,$0.00,0,$0.00,12,0.00%,1
7/21/21,$51.96,2,2,$25.98,1,$25.98,8,25.00%,1
7/22/21,$77.94,3,3,$25.98,1,$25.98,9,33.33%,1
7/23/21,$25.98,1,1,$25.98,1,$25.98,7,14.29%,1
7/24/21,$51.96,2,2,$25.98,1,$25.98,11,18.18%,1
7/25/21,$25.98,1,1,$25.98,1,$25.98,3,33.33%,1
7/26/21,$51.96,2,2,$25.98,1,$25.98,7,28.57%,1
7/27/21,$25.98,1,1,$25.98,1,$25.98,2,50.00%,1
7/28/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
7/29/21,$0.00,0,0,$0.00,0,$0.00,8,0.00%,1
7/30/21,$25.98,1,1,$25.98,1,$25.98,7,14.29%,1
7/31/21,$77.94,3,3,$25.98,1,$25.98,12,25.00%,1
8/1/21,$0.00,0,0,$0.00,0,$0.00,8,0.00%,1
8/2/21,$25.98,1,1,$25.98,1,$25.98,22,4.55%,1
8/3/21,$0.00,0,0,$0.00,0,$0.00,10,0.00%,1
8/4/21,$0.00,0,0,$0.00,0,$0.00,19,0.00%,1
8/5/21,$0.00,0,0,$0.00,0,$0.00,15,0.00%,1
8/6/21,$77.94,3,3,$25.98,1,$25.98,26,11.54%,1
8/7/21,$0.00,0,0,$0.00,0,$0.00,31,0.00%,1
8/8/21,$51.96,2,1,$51.96,2,$25.98,29,3.45%,1
8/9/21,$25.98,1,1,$25.98,1,$25.98,30,3.33%,1
8/10/21,$0.00,0,0,$0.00,0,$0.00,15,0.00%,1
8/11/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,1
8/12/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
8/13/21,$51.96,2,2,$25.98,1,$25.98,12,16.67%,1
8/14/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
8/15/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
8/16/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
8/17/21,$25.98,1,1,$25.98,1,$25.98,9,11.11%,1
8/18/21,$25.98,1,1,$25.98,1,$25.98,5,20.00%,1
8/19/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
8/20/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
8/21/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
8/22/21,$25.98,1,1,$25.98,1,$25.98,7,14.29%,1
8/23/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,1
8/24/21,$0.00,0,0,$0.00,0,$0.00,13,0.00%,1
8/25/21,$51.96,2,2,$25.98,1,$25.98,10,20.00%,1
8/26/21,$25.98,1,1,$25.98,1,$25.98,6,16.67%,0
8/27/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
8/28/21,$29.98,1,1,$29.98,1,$29.98,5,20.00%,1
8/29/21,$0.00,0,0,$0.00,0,$0.00,10,0.00%,1
8/30/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
8/31/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
9/1/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
9/2/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
9/3/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
9/4/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
9/5/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
9/6/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
9/7/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,1
9/8/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,1
9/9/21,$29.98,1,1,$29.98,1,$29.98,3,33.33%,1
9/10/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
9/11/21,$29.98,1,1,$29.98,1,$29.98,5,20.00%,1
9/12/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,1
9/13/21,$0.00,0,0,$0.00,0,$0.00,10,0.00%,1
9/14/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
9/15/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,1
9/16/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,1
9/17/21,$0.00,0,0,$0.00,0,$0.00,14,0.00%,1
9/18/21,$29.98,1,1,$29.98,1,$29.98,9,11.11%,1
9/19/21,$29.98,1,1,$29.98,1,$29.98,22,4.55%,1
9/20/21,$509.66,17,2,$254.83,8.5,$29.98,8,25.00%,1
9/21/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,1
9/22/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,1
9/23/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
9/24/21,$29.98,1,1,$29.98,1,$29.98,7,14.29%,1
9/25/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,1
9/26/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,1
9/27/21,"$1,049.30",35,3,$349.77,11.67,$29.98,10,30.00%,1
9/28/21,$29.98,1,1,$29.98,1,$29.98,8,12.50%,1
9/29/21,$29.98,1,1,$29.98,1,$29.98,9,11.11%,1
9/30/21,$0.00,0,0,$0.00,0,$0.00,11,0.00%,2
10/1/21,$0.00,0,0,$0.00,0,$0.00,11,0.00%,2
10/2/21,$0.00,0,0,$0.00,0,$0.00,9,0.00%,2
10/3/21,$0.00,0,0,$0.00,0,$0.00,14,0.00%,2
10/4/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,2
10/5/21,$29.98,1,1,$29.98,1,$29.98,6,16.67%,2
10/6/21,$0.00,0,0,$0.00,0,$0.00,1,0.00%,2
10/7/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,2
10/8/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,2
10/9/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,2
10/10/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,2
10/11/21,$29.98,1,1,$29.98,1,$29.98,5,20.00%,2
10/12/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,2
10/13/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,2
10/14/21,$29.98,1,1,$29.98,1,$29.98,5,20.00%,2
10/15/21,$29.98,1,1,$29.98,1,$29.98,4,25.00%,2
10/16/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,2
10/17/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,2
10/18/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,2
10/19/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,2
10/20/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,2
10/21/21,$29.98,1,1,$29.98,1,$29.98,5,20.00%,2
10/22/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,2
10/23/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,2
10/24/21,$0.00,0,0,$0.00,0,$0.00,8,0.00%,2
10/25/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,2
10/26/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,2
10/27/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,2
10/28/21,$29.98,1,1,$29.98,1,$29.98,4,25.00%,2
10/29/21,$29.98,1,1,$29.98,1,$29.98,2,50.00%,2
10/30/21,$29.98,1,1,$29.98,1,$29.98,9,11.11%,2
10/31/21,$29.98,1,1,$29.98,1,$29.98,0,0.00%,2
11/1/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,2
11/2/21,$59.96,2,2,$29.98,1,$29.98,9,22.22%,2
11/3/21,$59.96,2,2,$29.98,1,$29.98,9,22.22%,3
11/4/21,$29.98,1,1,$29.98,1,$29.98,10,10.00%,3
11/5/21,$0.00,0,0,$0.00,0,$0.00,2,0.00%,3
11/6/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,3
11/7/21,$0.00,0,0,$0.00,0,$0.00,5,0.00%,3
11/8/21,$0.00,0,0,$0.00,0,$0.00,8,0.00%,3
11/9/21,$0.00,0,0,$0.00,0,$0.00,9,0.00%,5
11/10/21,$29.89,1,1,$29.89,1,$29.89,6,16.67%,5
11/11/21,$29.89,1,1,$29.89,1,$29.89,9,11.11%,5
11/12/21,$29.89,1,1,$29.89,1,$29.89,12,8.33%,5
11/13/21,$29.89,1,1,$29.89,1,$29.89,8,12.50%,5
11/14/21,$29.89,1,1,$29.89,1,$29.89,5,20.00%,5
11/15/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,5
11/16/21,$29.89,1,1,$29.89,1,$29.89,2,50.00%,5
11/17/21,$29.89,1,1,$29.89,1,$29.89,4,25.00%,5
11/18/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,5
11/19/21,$0.00,0,0,$0.00,0,$0.00,14,0.00%,5
11/20/21,$29.89,1,1,$29.89,1,$29.89,6,16.67%,5
11/21/21,$59.78,2,2,$29.89,1,$29.89,4,50.00%,5
11/22/21,$29.89,1,1,$29.89,1,$29.89,22,4.55%,5
11/23/21,$0.00,0,0,$0.00,0,$0.00,9,0.00%,4
11/24/21,$59.78,2,2,$29.89,1,$29.89,7,28.57%,4
11/25/21,$101.83,4,4,$25.46,1,$25.46,8,50.00%,4
11/26/21,$0.00,0,0,$0.00,0,$0.00,10,0.00%,4
11/27/21,$23.98,1,1,$23.98,1,$23.98,8,12.50%,4
11/28/21,$53.87,2,2,$26.94,1,$26.94,19,10.53%,4
11/29/21,$23.98,1,1,$23.98,1,$23.98,15,6.67%,4
11/30/21,$59.78,2,2,$29.89,1,$29.89,15,13.33%,4
12/1/21,$89.67,3,3,$29.89,1,$29.89,9,33.33%,4
12/2/21,$29.89,1,1,$29.89,1,$29.89,9,11.11%,4
12/3/21,$0.00,0,0,$0.00,0,$0.00,9,0.00%,4
12/4/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,4
12/5/21,$29.89,1,1,$29.89,1,$29.89,7,14.29%,4
12/6/21,$29.89,1,1,$29.89,1,$29.89,13,7.69%,4
12/7/21,$29.89,1,1,$29.89,1,$29.89,21,4.76%,4
12/8/21,$0.00,0,0,$0.00,0,$0.00,21,0.00%,4
12/9/21,$0.00,0,0,$0.00,0,$0.00,12,0.00%,4
12/10/21,$29.89,1,1,$29.89,1,$29.89,15,6.67%,4
12/11/21,$29.89,1,1,$29.89,1,$29.89,8,12.50%,4
12/12/21,$0.00,0,0,$0.00,0,$0.00,26,0.00%,4
12/13/21,$0.00,0,0,$0.00,0,$0.00,28,0.00%,4
12/14/21,$59.78,2,2,$29.89,1,$29.89,35,5.71%,4
12/15/21,$0.00,0,0,$0.00,0,$0.00,33,0.00%,4
12/16/21,$29.89,1,1,$29.89,1,$29.89,37,2.70%,4
12/17/21,$0.00,0,0,$0.00,0,$0.00,46,0.00%,4
12/18/21,$0.00,0,0,$0.00,0,$0.00,48,0.00%,4
12/19/21,$0.00,0,0,$0.00,0,$0.00,44,0.00%,4
12/20/21,$0.00,0,0,$0.00,0,$0.00,57,0.00%,4
12/21/21,$59.78,2,2,$29.89,1,$29.89,55,3.64%,4
12/22/21,$0.00,0,0,$0.00,0,$0.00,54,0.00%,4
12/23/21,$29.89,1,1,$29.89,1,$29.89,45,2.22%,4
12/24/21,$29.89,1,1,$29.89,1,$29.89,59,1.69%,3
12/25/21,$0.00,0,0,$0.00,0,$0.00,54,0.00%,3
12/26/21,$0.00,0,0,$0.00,0,$0.00,6,0.00%,3
12/27/21,$0.00,0,0,$0.00,0,$0.00,7,0.00%,3
12/28/21,$0.00,0,0,$0.00,0,$0.00,4,0.00%,3
12/29/21,$0.00,0,0,$0.00,0,$0.00,3,0.00%,3
12/30/21,$59.78,2,2,$29.89,1,$29.89,12,16.67%,3
12/31/21,$0.00,0,0,$0.00,0,$0.00,0,0.00%,3
1/1/22,$0.00,0,0,$0.00,0,$0.00,7,0.00%,3
1/2/22,$29.89,1,1,$29.89,1,$29.89,5,20.00%,3
1/3/22,$29.89,1,1,$29.89,1,$29.89,2,50.00%,3
1/4/22,$0.00,0,0,$0.00,0,$0.00,3,0.00%,3
1/5/22,$0.00,0,0,$0.00,0,$0.00,6,0.00%,3
1/6/22,$0.00,0,0,$0.00,0,$0.00,9,0.00%,3
1/7/22,$29.89,1,1,$29.89,1,$29.89,6,16.67%,3
1/8/22,$29.89,1,1,$29.89,1,$29.89,7,14.29%,0
1/9/22,$0.00,0,0,$0.00,0,$0.00,0,0.00%,0
